ID;PROVINCIA;LOCALIDAD
1000;Montevideo;Puerto
1001;Montevideo;Ciudad Vieja
1002;Montevideo;Centro
1003;Montevideo;Barrio Sur
1004;Montevideo;Cordon
1005;Montevideo;Palermo
1006;Montevideo;Parque Rodo
1007;Montevideo;Pocitos
1008;Montevideo;Punta Carretas
1009;Montevideo;Malvin Norte
1010;Montevideo;Union
1011;Montevideo;Punta Gorda
1012;Montevideo;Malvin
1013;Montevideo;Carrasco Norte
1014;Montevideo;Carrasco
1015;Montevideo;La Blanqueada
1016;Montevideo;Buceo
1017;Montevideo;Pque Batlle Villa Dolores
1018;Montevideo;Larrañaga
1019;Montevideo;Aires Puros
1020;Montevideo;Prado Nueva Savona
1021;Montevideo;Brazo Oriental
1022;Montevideo;Atahualpa
1023;Montevideo;La Comercial
1024;Montevideo;Figurita
1025;Montevideo;Capurro Bella Vista
1026;Montevideo;Jacinto Vera
1027;Montevideo;Aguada
1028;Montevideo;Reducto
1029;Montevideo;Tres Cruces
1030;Montevideo;Villa Muñoz Retiro
1031;Montevideo;Belvedere
1032;Montevideo;Tres Ombues Pblo Victoria
1033;Montevideo;La Teja
1034;Montevideo;Nuevo Paris
1035;Montevideo;Ituzaingo
1036;Montevideo;Castro Castellanos
1037;Montevideo;Mercado Modelo Y Bolivar
1038;Montevideo;Villa Española
1039;Montevideo;Las Canteras
1040;Montevideo;Maroñas Parque Guarani
1041;Montevideo;Casavalle
1042;Montevideo;Manga
1043;Montevideo;Piedras Blancas
1044;Montevideo;Las Acacias
1045;Montevideo;Cerrito
1046;Montevideo;Manga Toledo Chico
1047;Montevideo;Colon Sureste Abayuba
1048;Montevideo;Peñarol Lavalleja
1049;Montevideo;Colon Centro Y Noroeste
1050;Montevideo;Lezica Melilla
1051;Montevideo;Paso De La Arena
1052;Montevideo;Casabo Pajas Blancas
1053;Montevideo;La Paloma Tomkinson
1054;Montevideo;Cerro
1055;Montevideo;Sayago
1056;Montevideo;Paso De Las Duranas
1057;Montevideo;Conciliacion
1058;Montevideo;Villa Garcia Manga Rural
1059;Montevideo;Punta Rieles Bella Italia
1060;Montevideo;Jardines Del Hipodromo
1061;Montevideo;Bañados De Carrasco
1062;Montevideo;Flor De Maroñas
1063;Canelones;Santa Teresita
1064;Canelones;Colonia Nicolich
1065;Canelones;Paso Carrasco
1066;Canelones;San Jose De Carrasco
1067;Canelones;Parque Carrasco
1068;Canelones;Aeropuerto Internacional De Carrasco
1069;Canelones;Shangrila
1070;Canelones;El Bosque
1071;Canelones;Barrio Obrero
1072;Canelones;Lagomar
1073;Canelones;Lago Jardin Del Bosque
1074;Canelones;Barra De Carrasco
1075;Canelones;Empalme Nicolich
1076;Canelones;Parque Miramar
1077;Canelones;Pinamar Y Pinepark
1078;Canelones;Fortin De Santa Rosa
1079;Canelones;Salinas
1080;Canelones;Pine Park
1081;Canelones;Neptunia
1082;Canelones;Rincon De Pando
1083;Canelones;Marindia
1084;Canelones;Pinamar
1085;Canelones;Villa Juana
